image_id,path,sheet_id,long_edge,status,width,height
1,D:\lumina-studio\public\images\portfolio\lumina-harvest-v1\000001_opening_detail_IMG_0629.webp,sheet_0001,2048,candidate,2048,1365
2,D:\lumina-studio\public\images\portfolio\lumina-harvest-v1\000002_detail_IMG_0637.webp,sheet_0001,2048,candidate,2048,1367
3,D:\lumina-studio\public\images\portfolio\lumina-harvest-v1\000013_ceremony_IMG_1676.webp,sheet_0001,2048,candidate,2048,1365
4,D:\lumina-studio\public\images\portfolio\lumina-harvest-v1\000018_hero_IMG_2036.webp,sheet_0001,2048,candidate,1365,2048
5,D:\lumina-studio\public\images\portfolio\lumina-harvest-v1\000035_family_emotion_PTO_9008.webp,sheet_0001,2048,candidate,2048,1367
6,D:\lumina-studio\public\images\portfolio\wedding-party-trial\final_40\104.jpg,sheet_0001,2048,candidate,2048,1367
7,D:\lumina-studio\public\images\portfolio\lan\109696263_3258839444139508_4121426771048037015_n.jpg,sheet_0001,2048,candidate,2048,1151
8,D:\lumina-studio\public\images\portfolio\wedding-party-trial\final_40\138.jpg,sheet_0001,2048,candidate,2048,1367
9,D:\lumina-studio\public\images\portfolio\wedding-party-trial\web_20\138.jpg,sheet_0001,2048,candidate,2048,1367
10,D:\lumina-studio\public\images\portfolio\wedding-party-trial\final_40\14.jpg,sheet_0001,2048,candidate,1367,2048
11,D:\lumina-studio\public\images\portfolio\wedding-party-trial\web_20\14.jpg,sheet_0001,2048,candidate,1367,2048
12,D:\lumina-studio\public\images\portfolio\wedding-party-trial\final_40\142.jpg,sheet_0001,2048,candidate,2048,1367
13,D:\lumina-studio\public\images\portfolio\wedding-party-trial\web_20\142.jpg,sheet_0001,2048,candidate,2048,1367
14,D:\lumina-studio\public\images\portfolio\wedding-party-trial\final_40\144.jpg,sheet_0001,2048,candidate,2048,1367
15,D:\lumina-studio\public\images\portfolio\wedding-party-trial\web_20\144.jpg,sheet_0001,2048,candidate,2048,1367
16,D:\lumina-studio\public\images\portfolio\my\1693906223242.jpg,sheet_0001,1536,candidate,1025,1536
17,D:\lumina-studio\public\images\portfolio\my\1693906224563.jpg,sheet_0001,1536,candidate,1025,1536
18,D:\lumina-studio\public\images\portfolio\my\1693906225829.jpg,sheet_0001,1536,candidate,1025,1536
19,D:\lumina-studio\public\images\portfolio\my\1693906227027.jpg,sheet_0001,1536,candidate,1025,1536
20,D:\lumina-studio\public\images\portfolio\my\1693906228045.jpg,sheet_0001,1536,candidate,1025,1536
21,D:\lumina-studio\public\images\portfolio\my\1693906229159.jpg,sheet_0001,1536,candidate,1025,1536
22,D:\lumina-studio\public\images\portfolio\my\1693906230477.jpg,sheet_0001,1536,candidate,1025,1536
23,D:\lumina-studio\public\images\portfolio\my\1693906232477.jpg,sheet_0001,1536,candidate,1025,1536
